book,asin,keyword,relevant,found,organic_rank,page,sponsored_seen,results_scanned,status
The Hollow Bell — Full Novel,B0HD52HGGZ,small town mystery,True,False,,,False,77,not_found_after_5_pages_77_organic_results
Second Draft,B0HFYQ9KGV,small town mystery,False,False,,,False,77,not_found_after_5_pages_77_organic_results
The Hollow Year,B0HFXF8MTP,small town mystery,True,False,,,False,77,not_found_after_5_pages_77_organic_results
The Absconding,B0HDWRVSXQ,small town mystery,False,False,,,False,77,not_found_after_5_pages_77_organic_results
The Correction,B0HFV8KCVL,small town mystery,True,False,,,False,77,not_found_after_5_pages_77_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,psychological mystery,False,False,,,False,72,not_found_after_5_pages_72_organic_results
Second Draft,B0HFYQ9KGV,psychological mystery,True,False,,,False,72,not_found_after_5_pages_72_organic_results
The Hollow Year,B0HFXF8MTP,psychological mystery,True,False,,,False,72,not_found_after_5_pages_72_organic_results
The Absconding,B0HDWRVSXQ,psychological mystery,True,False,,,False,72,not_found_after_5_pages_72_organic_results
The Correction,B0HFV8KCVL,psychological mystery,True,False,,,False,72,not_found_after_5_pages_72_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,supernatural mystery,True,False,,,False,76,not_found_after_5_pages_76_organic_results
Second Draft,B0HFYQ9KGV,supernatural mystery,False,False,,,False,76,not_found_after_5_pages_76_organic_results
The Hollow Year,B0HFXF8MTP,supernatural mystery,True,False,,,False,76,not_found_after_5_pages_76_organic_results
The Absconding,B0HDWRVSXQ,supernatural mystery,False,False,,,False,76,not_found_after_5_pages_76_organic_results
The Correction,B0HFV8KCVL,supernatural mystery,False,False,,,False,76,not_found_after_5_pages_76_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,atmospheric mystery,True,False,,,False,71,not_found_after_5_pages_71_organic_results
Second Draft,B0HFYQ9KGV,atmospheric mystery,True,False,,,False,71,not_found_after_5_pages_71_organic_results
The Hollow Year,B0HFXF8MTP,atmospheric mystery,True,False,,,False,71,not_found_after_5_pages_71_organic_results
The Absconding,B0HDWRVSXQ,atmospheric mystery,True,False,,,False,71,not_found_after_5_pages_71_organic_results
The Correction,B0HFV8KCVL,atmospheric mystery,True,False,,,False,71,not_found_after_5_pages_71_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,family secrets mystery,False,False,,,False,68,not_found_after_5_pages_68_organic_results
Second Draft,B0HFYQ9KGV,family secrets mystery,False,False,,,False,68,not_found_after_5_pages_68_organic_results
The Hollow Year,B0HFXF8MTP,family secrets mystery,False,False,,,False,68,not_found_after_5_pages_68_organic_results
The Absconding,B0HDWRVSXQ,family secrets mystery,True,False,,,False,68,not_found_after_5_pages_68_organic_results
The Correction,B0HFV8KCVL,family secrets mystery,False,False,,,False,68,not_found_after_5_pages_68_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,cold case mystery,True,False,,,False,64,not_found_after_5_pages_64_organic_results
Second Draft,B0HFYQ9KGV,cold case mystery,False,False,,,False,64,not_found_after_5_pages_64_organic_results
The Hollow Year,B0HFXF8MTP,cold case mystery,False,False,,,False,64,not_found_after_5_pages_64_organic_results
The Absconding,B0HDWRVSXQ,cold case mystery,False,False,,,False,64,not_found_after_5_pages_64_organic_results
The Correction,B0HFV8KCVL,cold case mystery,False,False,,,False,64,not_found_after_5_pages_64_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,small town cold case mystery,True,False,,,False,77,not_found_after_5_pages_77_organic_results
Second Draft,B0HFYQ9KGV,small town cold case mystery,False,False,,,False,77,not_found_after_5_pages_77_organic_results
The Hollow Year,B0HFXF8MTP,small town cold case mystery,False,False,,,False,77,not_found_after_5_pages_77_organic_results
The Absconding,B0HDWRVSXQ,small town cold case mystery,False,False,,,False,77,not_found_after_5_pages_77_organic_results
The Correction,B0HFV8KCVL,small town cold case mystery,False,False,,,False,77,not_found_after_5_pages_77_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,missing sister mystery,True,False,,,False,71,not_found_after_5_pages_71_organic_results
Second Draft,B0HFYQ9KGV,missing sister mystery,False,False,,,False,71,not_found_after_5_pages_71_organic_results
The Hollow Year,B0HFXF8MTP,missing sister mystery,False,False,,,False,71,not_found_after_5_pages_71_organic_results
The Absconding,B0HDWRVSXQ,missing sister mystery,False,False,,,False,71,not_found_after_5_pages_71_organic_results
The Correction,B0HFV8KCVL,missing sister mystery,False,False,,,False,71,not_found_after_5_pages_71_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,police procedural mystery,True,False,,,False,75,not_found_after_5_pages_75_organic_results
Second Draft,B0HFYQ9KGV,police procedural mystery,False,False,,,False,75,not_found_after_5_pages_75_organic_results
The Hollow Year,B0HFXF8MTP,police procedural mystery,False,False,,,False,75,not_found_after_5_pages_75_organic_results
The Absconding,B0HDWRVSXQ,police procedural mystery,False,False,,,False,75,not_found_after_5_pages_75_organic_results
The Correction,B0HFV8KCVL,police procedural mystery,False,False,,,False,75,not_found_after_5_pages_75_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,women sleuth mystery,True,False,,,False,67,not_found_after_5_pages_67_organic_results
Second Draft,B0HFYQ9KGV,women sleuth mystery,False,False,,,False,67,not_found_after_5_pages_67_organic_results
The Hollow Year,B0HFXF8MTP,women sleuth mystery,False,False,,,False,67,not_found_after_5_pages_67_organic_results
The Absconding,B0HDWRVSXQ,women sleuth mystery,False,False,,,False,67,not_found_after_5_pages_67_organic_results
The Correction,B0HFV8KCVL,women sleuth mystery,False,False,,,False,67,not_found_after_5_pages_67_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,missing woman mystery,False,False,,,False,77,not_found_after_5_pages_77_organic_results
Second Draft,B0HFYQ9KGV,missing woman mystery,True,False,,,False,77,not_found_after_5_pages_77_organic_results
The Hollow Year,B0HFXF8MTP,missing woman mystery,False,False,,,False,77,not_found_after_5_pages_77_organic_results
The Absconding,B0HDWRVSXQ,missing woman mystery,False,False,,,False,77,not_found_after_5_pages_77_organic_results
The Correction,B0HFV8KCVL,missing woman mystery,False,False,,,False,77,not_found_after_5_pages_77_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,haunted house psychological mystery,False,False,,,False,71,not_found_after_5_pages_71_organic_results
Second Draft,B0HFYQ9KGV,haunted house psychological mystery,True,False,,,False,71,not_found_after_5_pages_71_organic_results
The Hollow Year,B0HFXF8MTP,haunted house psychological mystery,False,False,,,False,71,not_found_after_5_pages_71_organic_results
The Absconding,B0HDWRVSXQ,haunted house psychological mystery,False,False,,,False,71,not_found_after_5_pages_71_organic_results
The Correction,B0HFV8KCVL,haunted house psychological mystery,False,False,,,False,71,not_found_after_5_pages_71_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,reality bending mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
Second Draft,B0HFYQ9KGV,reality bending mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Year,B0HFXF8MTP,reality bending mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Absconding,B0HDWRVSXQ,reality bending mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Correction,B0HFV8KCVL,reality bending mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,memory mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
Second Draft,B0HFYQ9KGV,memory mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Year,B0HFXF8MTP,memory mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
The Absconding,B0HDWRVSXQ,memory mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Correction,B0HFV8KCVL,memory mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,small town supernatural mystery,False,False,,,False,77,not_found_after_5_pages_77_organic_results
Second Draft,B0HFYQ9KGV,small town supernatural mystery,False,False,,,False,77,not_found_after_5_pages_77_organic_results
The Hollow Year,B0HFXF8MTP,small town supernatural mystery,True,False,,,False,77,not_found_after_5_pages_77_organic_results
The Absconding,B0HDWRVSXQ,small town supernatural mystery,False,False,,,False,77,not_found_after_5_pages_77_organic_results
The Correction,B0HFV8KCVL,small town supernatural mystery,False,False,,,False,77,not_found_after_5_pages_77_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,memory erasure mystery,False,False,,,False,45,not_found_after_3_pages_45_organic_results
Second Draft,B0HFYQ9KGV,memory erasure mystery,False,False,,,False,45,not_found_after_3_pages_45_organic_results
The Hollow Year,B0HFXF8MTP,memory erasure mystery,True,False,,,False,45,not_found_after_3_pages_45_organic_results
The Absconding,B0HDWRVSXQ,memory erasure mystery,False,False,,,False,45,not_found_after_3_pages_45_organic_results
The Correction,B0HFV8KCVL,memory erasure mystery,False,False,,,False,45,not_found_after_3_pages_45_organic_results
