keyword,found,organic_rank,page,sponsored_seen,results_scanned,status
cold case mystery,False,,,False,80,not_found_after_5_pages_80_organic_results
small town mystery,False,,,False,173,not_found_after_5_pages_173_organic_results
small town cold case mystery,False,,,False,80,not_found_after_5_pages_80_organic_results
missing sister mystery,False,,,False,80,not_found_after_5_pages_80_organic_results
missing person mystery,False,,,False,80,not_found_after_5_pages_80_organic_results
police procedural mystery,False,,,False,80,not_found_after_5_pages_80_organic_results
women sleuth mystery,False,,,False,80,not_found_after_5_pages_80_organic_results
atmospheric mystery,False,,,False,80,not_found_after_5_pages_80_organic_results
supernatural mystery,False,,,False,167,not_found_after_5_pages_167_organic_results
family secrets mystery,False,,,False,80,not_found_after_5_pages_80_organic_results
